Part,Qty,Price,Desc,Notes,Link
Arduino,1,$29.30,Uno R3,not going to buy,
Pen,60,$7.99,Bic Round Stic,not going to buy,
500mm Aluminium Extrusion,4,$25.99,500m V-slot aluminum extrusions,They come with extra accessories like connectors,https://www.aliexpress.us/item/3256804642902887.html?src=google&pdp_npi=4%40dis%21USD%217.62%214.95%21%21%21%21%21%40%2112000046464978432%21ppc%21%21%21&src=google&albch=shopping&acnt=615-992-9880&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oFgTQeV&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256804642902887&ds_e_product_merchant_id=106987257&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22525427924&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22518985128&gbraid=0AAAAA_TvRHohDlpwH1t31wwRTStl9wvTn&gclid=CjwKCAjw7rbEBhB5EiwA1V49nQ8Jo3CpTYPn01uYwYKQ9a22NtzzU9K2DkHqgGaVjLixHldWkVV13xoCB6wQAvD_BwE&gatewayAdapt=glo2usa
Linear Motion Rod Shaft,2,$17.64,Linear shaft for the toolhead to move on,,https://www.aliexpress.us/item/2255800403003227.html?src=google&pdp_npi=4%40dis%21USD%215.10%215.10%21%21%21%21%21%40%2110000003452701986%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2255800403003227&ds_e_product_merchant_id=5544025252&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19413040701&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19420347529&gbraid=0AAAAAD6I-hF0245CxOJHj-UJ7bSmDm36F&gclid=CjwKCAjw7rbEBhB5EiwA1V49nZwHaAKpbgu1fPc7DIDs8G7P-iGvrT7iIwYScHBpzhI0BMiAgKYHURoCq9gQAvD_BwE&gatewayAdapt=glo2usa
Linear motion rod clamp,4,$17.1,,,https://www.aliexpress.us/item/2255799899348947.html?gatewayAdapt=glo2usa4itemAdapt
Linear bearings,2,$13.27,,,https://www.aliexpress.us/item/2251832487047487.html?spm=a2g0o.productlist.main.3.54df26fc2UpYiK&algo_pvid=85eeae5b-9a15-44c1-90ea-e4faa7d98317&algo_exp_id=85eeae5b-9a15-44c1-90ea-e4faa7d98317-2&pdp_ext_f=%7B%22order%22%3A%22153%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2117.69%2113.27%21%21%2117.69%2113.27%21%402103201917541703882386169ef02f%2164097981491%21sea%21US%210%21ABX&curPageLogUid=IfCRcKenJCX7&utparam-url=scene%3Asearch%7Cquery_from%3A&_gl=1*1ko6jw4*_gcl_au*MTk4NzE3NjcwLjE3NTQxNzAzODU.*_ga*MzY4MzUwNzkzMTI2MDkxLjE3NDc2MDY2MDg3Njc.*_ga_VED1YSGNC7*czE3NTQxNzAzODQkbzEkZzEkdDE3NTQxNzAzODkkajU1JGwwJGgw
Stepper Motor Nema 17,2,$15.22,Motors to drive the gantry,High torque and high speed,https://www.aliexpress.us/item/2251832683239784.html?src=google&pdp_npi=4%40dis%21USD%214.45%213.78%21%21%21%21%21%40%2165443571322%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en2251832683239784&ds_e_product_merchant_id=100982560&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19108228023&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19108292148&gbraid=0AAAAAD6I-hEk8pbPKbQHAsRlzOuaOHWji&gclid=CjwKCAjw7rbEBhB5EiwA1V49nb6DJGdRqMjYuNWtBtJyw-fqecrs39E0UI3GKHXx1VbWHtdZy6qYcBoCQDYQAvD_BwE&gatewayAdapt=glo2usa
Timing Belt,1,$9.35,5m belt,Extra accessories included like driver and idler wheels and belt clamps and tensioners,https://www.aliexpress.us/item/3256803959490903.html?gatewayAdapt=glo2usa4itemAdapt
Stepper Motor Driver Module,2,$10.55,Stepper motor drivers,,https://www.aliexpress.us/item/2255800140733695.html?spm=a2g0o.productlist.main.8.608a64d6NGzeHa&algo_pvid=e55d2704-2785-4781-b016-b448045a97a3&algo_exp_id=e55d2704-2785-4781-b016-b448045a97a3-7&pdp_ext_f=%7B%22order%22%3A%2253%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%218.08%215.33%21%21%218.08%215.33%21%402101efeb17541709004351878e50a0%2110000001342223857%21sea%21US%210%21ABX&curPageLogUid=KiUrBYL8ZibD&utparam-url=scene%3Asearch%7Cquery_from%3A&_gl=1*15ltvc9*_gcl_au*MTk4NzE3NjcwLjE3NTQxNzAzODU.*_ga*MzY4MzUwNzkzMTI2MDkxLjE3NDc2MDY2MDg3Njc.*_ga_VED1YSGNC7*czE3NTQxNzAzODQkbzEkZzEkdDE3NTQxNzA5MDEkajYwJGwwJGgw
Servo,1,$2.18,Fast servo that has metal gears and is small,,https://www.aliexpress.us/item/3256806338932286.html?gatewayAdapt=glo2usa4itemAdapt
