Part,Qty,Price,Desc,Notes,Link
12V 2A Power Supply,1,$7.99,power supply,,https://www.amazon.com/5-5x2-1mm-Converter-Transformer-Surveillance-External/dp/B01AZLA9XQ?th=1
500mm Aluminium Extrusion,4,$33.99,aluminum extrusions,,https://www.amazon.com/dp/B0BXNCBNGY/ref=sspa_dk_hqp_detail_aax_0?sp_csd=d2lkZ2V0TmFtZT1zcF9ocXBfc2hhcmVk&th=1
Linear Motion Rod Shaft,2,$29.99,linear shaft,,https://www.amazon.com/uxcell-Bearing-Support-Automated-Machines/dp/B0CK4Z3M15
Linear Ball Bearings,12,$10.99,,for on the shaft,https://www.amazon.com/quality-Linear-Bearing-Bushing-Printer/dp/B00X75QGGC
Stepper Motor Nema 17,2,$25.99,nema 17 stepper motor,high torque,https://www.amazon.com/Stepper-Motor-Bipolar-64oz-Printer/dp/B00PNEQI7W
Timing Belt,1,$14.99,5m timing belt,extra accessories included,https://www.amazon.com/KeeYees-Timing-Tensioner-Torsion-Printer/dp/B07JKT5BZQ
Stepper Motor Driver Module,2,$7.59,stepper motor drivers,,https://www.amazon.com/Stepper-Printer-StepStick-Envistia-Mall/dp/B07QT7N3T2
Servo,1,$11.99,fast servo.metal gears.small,needs to be fast for the pen up and down,https://vorpal-robotics-store.myshopify.com/products/vorpal-brand-mg90-micro-servos
Limit switches,2,$5.56,SS-5GL02,,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/SS-5GL02/3102937
Inside Hidden Corner Bracket,4,$7.96,corner brackets to connect the aluminum extrusions,used these bc they dont require tapping i dont have the tools for that,https://us.openbuilds.com/inside-hidden-corner-bracket
Eccentric Spacer,8,$9.52,spacer for the roller things under the wheels,used for adjusting so that there is no slack on the rollers,https://us.openbuilds.com/eccentric-spacer
Xtreme Solid V Wheels,8,$32.08,wheel thingys for the roller,why tf is that so expensive,https://us.openbuilds.com/xtreme-solid-v-wheels
Gantry Plate,2,$11.38,plate for the wheels and spacers,rolls on the aluminum extrusion,https://us.openbuilds.com/c-beam-gantry-plate
,,SUBTOTAL: $210.02,,,
,,GRAND TOTAL: $223.15 (includes tax),,I will use Amazon Prime free shipping for all items :D,
